ID_REF,SRR1027177,SRR1027178,SRR1027179,SRR1027180,SRR1027181,SRR1027182,SRR1027188,SRR1027189,SRR1027190
NR1H3,343,98,113,195,167,165,374,403,236
TYMP,1627,223,252,528,485,599,974,739,412
NCAPH2,502,144,186,136,207,138,468,419,326
TOMM34,334,107,140,87,123,93,797,673,708
SEC63,914,647,714,707,794,402,1850,1685,2744
KPNA6,1341,742,756,719,726,730,645,1399,1654
VIM,2108,1493,1746,5282,1664,1041,13268,13727,16713
RTEL1_TNFRSF6B,25,24,29,22,21,19,41,39,31
FAS,671,96,169,399,135,92,532,920,710
RNASET2,729,219,177,209,222,100,352,265,192
CD44,6125,1858,3563,1377,3413,2494,6919,7426,13625
KCNG1,6,6,12,2,9,2,33,37,52
AGPAT4,111,66,90,203,145,27,122,301,294
SLAMF7,261,66,103,79,126,169,20,62,44
BTN3A1,578,260,363,290,345,270,325,678,586
MIPEP,488,300,282,241,262,273,352,234,172
PRKCH,356,136,242,208,254,200,490,965,1237
INSRR,10,19,18,30,17,5,5,29,17
IFNGR1,2337,430,668,843,786,427,1957,3010,2657
B4GALT7,110,136,92,111,87,75,144,130,84
SH2D2A,17,7,22,19,18,18,42,25,20
VRK2,480,155,168,200,609,177,211,263,263
TNFRSF1B,612,195,279,272,384,207,258,979,940
VEZT,1580,582,672,757,853,818,874,1380,1486
POU2F2,73,62,51,58,33,27,406,33,61
BRD9,120,216,121,100,105,83,324,424,331
SNX1,853,724,817,839,1147,732,1711,1696,2010
TBPL1,169,70,96,66,112,37,249,206,236
ARNTL2,257,114,154,106,146,44,189,543,336
BCLAF1,1558,1070,1034,721,1015,492,908,1212,1425
SLC39A9,2130,1000,1239,1140,1582,1333,995,1197,1365
ANK1,14,36,38,19,48,28,4,82,13
IBSP,124,21,7,11,4,6,2,0,0
TFB1M,277,75,88,57,107,30,50,53,39
RABEP1,4490,2221,1705,1579,2158,1889,993,1118,1743
HMGB3,2751,533,357,132,388,88,647,164,385
NUP160,1489,465,591,471,590,329,591,1035,1127
BAK1,184,47,45,49,60,28,97,124,92
MUSK,12,9,10,16,2,4,1,0,3
IKZF2,884,203,319,341,242,94,48,78,98
GRN,2274,910,842,1474,773,709,1926,1740,1611
FAM13B,522,485,526,423,547,261,547,707,912
ARHGAP31,564,292,351,538,360,188,388,1037,1924
CENPQ,275,49,39,50,67,26,20,31,27
SARS1,1261,576,549,439,978,555,2740,2769,3243
RANBP3,741,742,468,235,531,230,418,553,549
ARID4A,856,328,386,394,436,250,336,719,835
EIPR1,166,111,122,45,149,111,209,150,73
PNPLA6,339,491,347,201,267,151,363,373,312
IFT88,317,181,216,254,285,206,221,145,226
ALG1,233,196,118,93,164,132,73,57,51
ZCCHC8,203,158,342,165,311,196,380,609,496
ABCF2,50,55,65,75,78,75,197,243,311
CHPF2,396,327,245,463,256,322,430,429,532
LRRC7,10,7,11,25,12,7,7,13,13
FUT8,731,288,477,466,614,470,354,541,661
UBA6,1661,990,969,722,959,680,612,1376,1115
GAB2,541,160,221,268,303,439,559,1342,1501
ATP6V0A1,953,520,512,370,509,479,1076,1168,1213
PIAS1,643,367,467,487,574,321,503,865,1540
SLC4A7,1681,527,738,1063,1220,269,961,2299,3117
APBA2,28,26,34,57,19,10,63,131,89
MAP2K3,106,90,71,79,61,69,2673,4465,6127
EFCAB1,3,1,7,17,9,7,56,23,49
TMSB10,6151,2013,2113,1326,2173,912,9048,7022,5722
ASTE1,114,59,63,82,89,55,48,39,68
RNF19A,2194,649,985,746,1063,3360,1467,3080,2838
PEX3,597,135,219,139,215,60,159,137,199
GABARAPL2,723,355,295,354,373,252,1046,1172,1036
MYOC,3,3,5,8,4,2,17,24,16
SH3YL1,543,568,751,217,741,238,1372,1533,934
FAM136A,593,156,140,103,192,149,330,289,213
VCL,3699,1209,912,1596,907,650,2771,7491,6274
DEPDC1B,167,35,33,15,26,40,20,30,16
DAPK2,204,65,58,86,102,77,178,406,201
NSMAF,326,143,193,264,183,218,599,844,717
ADSS2,2383,547,513,576,640,314,556,863,870
STAP1,21,7,8,10,7,6,1,6,8
TIMP2,1034,1270,1637,3724,1114,403,2512,4110,10258
RFC1,997,830,947,512,1037,556,603,778,970
TBC1D23,980,464,463,472,540,311,605,1167,1066
CUL3,542,686,535,396,420,425,1753,1088,1600
MYOM2,18,43,35,19,38,2,30,51,39
OTC,2,1,0,1,1,0,0,1,0
CYP46A1,8,21,13,7,14,6,21,35,36
AC118549.1,571,501,556,577,736,384,601,923,1004
SLC18A1,6,4,9,2,4,5,0,0,1
